Section,Method,Endpoint,Description,Auth Required,Request Body / Query Params,Response Example
Authentication,POST,/api/auth/login,Admin login (returns JWT),No,"{ ""email"": ""admin@gmail.com"", ""password"": ""admin123"" }","{ ""message"": ""Login successful"", ""token"": ""eyJ..."", ""user"": { ""id"": 1, ""name"": ""Admin"", ... } }"
Authentication,POST,/api/auth/forgot-password,Request password reset OTP,No,"{ ""email"": ""admin@gmail.com"" }","{ ""message"": ""OTP sent to your email"" }"
Authentication,POST,/api/auth/verify-otp,Verify 6-digit OTP code,No,"{ ""email"": ""admin@gmail.com"", ""otp"": ""123456"" }","{ ""message"": ""OTP verified successfully"", ""resetToken"": ""eyJ..."" }"
Authentication,POST,/api/auth/reset-password,Set new password using reset token,No,"{ ""email"": ""admin@gmail.com"", ""newPassword"": ""newpass123"", ""resetToken"": ""eyJ..."" }","{ ""message"": ""Password reset successful"" }"
Authentication,GET,/api/auth/profile,Get logged-in user profile,Yes - Bearer Token,,"{ ""id"": 1, ""name"": ""Admin"", ""email"": ""admin@gmail.com"", ""profile_image"": ""..."", ""role"": ""admin"" }"
Authentication,PUT,/api/auth/profile,Update logged-in user profile,Yes - Bearer Token,"{ ""name"": ""New Name"", ""email"": ""new@email.com"", ""profile_image"": ""..."" }","{ ""message"": ""Profile updated successfully"" }"
Authentication,PUT,/api/auth/change-password,Change logged-in user password,Yes - Bearer Token,"{ ""currentPassword"": ""admin123"", ""newPassword"": ""newpass123"" }","{ ""message"": ""Password changed successfully"" }"
Products,GET,/api/products,List all products with optional filters,No,"?category=Living Room & ?search=sofa & ?featured=true & ?new_arrival=true & ?limit=4","[{ ""id"": 1, ""name"": ""Marina Lounge Chair"", ""category_name"": ""Living Room"", ""mrp"": 1299, ... }]"
Products,GET,/api/products/:id,Get single product by ID,No,,{ ""id"": 5, ""name"": ""Willow Bedroom Set"", ... }
Products,POST,/api/products,Create new product,Yes - Bearer Token,"name (required), mrp (required), category_id, selling_price, discounted_price, description, stock, material, color, size, dimensions, weight, warranty, delivery_info, featured, new_arrival, images (file uploads)","{ ""message"": ""Product created successfully"", ""id"": 13 }"
Products,PUT,/api/products/:id,Update existing product,Yes - Bearer Token,"Same fields as POST /api/products","{ ""message"": ""Product updated successfully"" }"
Products,DELETE,/api/products/:id,Delete a product,Yes - Bearer Token,,"{ ""message"": ""Product deleted successfully"" }"
Categories,GET,/api/categories,List all categories with product counts,No,,"[{ ""id"": 1, ""name"": ""Bedroom"", ""product_count"": 4, ... }]"
Categories,POST,/api/categories,Create new category,Yes - Bearer Token,"{ ""name"": ""Office"" }","{ ""message"": ""Category created"", ""id"": 6, ""name"": ""Office"" }"
Categories,DELETE,/api/categories/:id,Delete a category,Yes - Bearer Token,,"{ ""message"": ""Category deleted"" }"
About,GET,/api/about,Get company information,No,,"{ ""id"": 1, ""company_name"": ""AF Furnishings"", ""tagline"": ""..."", ""description"": ""..."", ""address"": ""..."", ""phone"": ""..."", ""email"": ""..."" }"
About,PUT,/api/about,Update company information,Yes - Bearer Token,"{ ""company_name"": ""AF Furnishings"", ""tagline"": ""..."", ""description"": ""..."", ""address"": ""..."", ""phone"": ""..."", ""email"": ""..."" }","{ ""message"": ""About info updated"" }"
Terms,GET,/api/terms,Get Terms & Conditions content,No,,"{ ""id"": 1, ""content"": ""Terms & Conditions..."", ""updated_at"": ""..."" }"
Terms,PUT,/api/terms,Update Terms & Conditions content,Yes - Bearer Token,"{ ""content"": ""Your full terms and conditions text here..."" }","{ ""message"": ""Terms & Conditions updated"" }"
Enquiries,GET,/api/enquiries,List all enquiries,Yes - Bearer Token,"?type=product & ?status=pending","[{ ""id"": 1, ""name"": ""John"", ""email"": ""john@example.com"", ""status"": ""pending"", ... }]"
Enquiries,POST,/api/enquiries,Submit new enquiry,No,"{ ""name"": ""John"", ""email"": ""john@example.com"", ""phone"": ""..."", ""product_id"": 1, ""product_name"": ""..."", ""message"": ""..."", ""type"": ""product"" }","{ ""message"": ""Enquiry submitted successfully"", ""id"": 1 }"
Enquiries,PUT,/api/enquiries/:id/status,Update enquiry status,Yes - Bearer Token,"{ ""status"": ""replied"" }","{ ""message"": ""Status updated"" }"
Enquiries,DELETE,/api/enquiries/:id,Delete an enquiry,Yes - Bearer Token,,"{ ""message"": ""Enquiry deleted"" }"
Dashboard,GET,/api/dashboard,Get dashboard statistics and recent enquiries,Yes - Bearer Token,,"{ ""stats"": { ""totalCategories"": 5, ""totalProducts"": 12, ... }, ""recentEnquiries"": [...] }"
Health,GET,/api/health,Health check endpoint,No,,"{ ""status"": ""ok"", ""timestamp"": ""2026-08-21T12:00:00.000Z"" }"
